datetime,gmx,gmvx,upper,lower,position
2013-02-08,2.876778712278264,-1.4899463581237753,1.3796434736948462,-2.949841692809518,0.0
2013-02-22,2.8148066707974975,-1.4378568904212932,1.4769441580355092,-2.9981640672133802,0.0
2013-03-01,3.3025317417755975,-1.6878135210387188,1.594671452300752,-3.060984041257481,0.0
2013-03-08,3.535652494517204,-2.250515519801599,1.7185843044807754,-3.127597446605349,0.0
2013-03-15,3.110880507385123,-2.6791288006144924,1.814953331384491,-3.1730946457964326,0.0
2013-03-22,3.009608559441572,-2.488876375294842,1.90252822370116,-3.2118128597469093,0.0
2013-03-29,2.2371316370139103,-2.2709754814607144,1.9558835731716,-3.2271185519142334,0.0
2013-04-05,1.7798492932604095,-1.7623982889531224,1.9924925524369699,-3.2321528019948746,0.0
2013-04-12,1.3825434727120889,-1.5506522796235758,2.0168662274414055,-3.230521625083843,0.0
2013-04-19,1.0754079576049724,-1.6223011016414737,2.0331127524623898,-3.225061883570295,0.0
2013-04-26,0.960719877832114,-1.5454151819215434,2.0464255195940146,-3.218417029632868,0.0
2013-05-03,0.7858820213982134,-1.69624524083731,2.0662171700276604,-3.2148702496274106,0.0
2013-05-10,1.0954889678596862,-1.8231285340084387,2.092374396437931,-3.213013401544014,0.0
2013-05-17,1.4276838754082664,-2.0242054091363766,2.1261474610561506,-3.214107374519624,0.0
2013-05-24,2.1365567299267347,-2.4758781478821237,2.179109283480404,-3.2201134775170237,0.0
2013-05-31,2.572490561406251,-2.874871229614209,2.2428478301680164,-3.2252707929415845,0.0
2013-06-07,2.617900077552819,-2.9714949916294544,2.3053363007731886,-3.226856882203888,0.0
2013-06-14,2.280636672515076,-3.140043711030039,2.354703666360584,-3.2192698262948345,0.0
2013-06-21,1.4289015043219702,-3.02672525411606,2.3812893201330185,-3.202367517821197,0.0
2013-06-28,0.3824127790772458,-2.7625128852788876,2.390187240172942,-3.185694198048025,0.0
2013-07-05,-0.34843426422793955,-2.9919432667194386,2.3917915420773084,-3.172150289946702,0.0
2013-07-12,-0.879056462068632,-2.9343561042502353,2.391164740765249,-3.1636031756802385,0.0
2013-07-19,-0.9857212287527262,-3.2010943771366693,2.390416313535894,-3.156455631303188,0.0
2013-07-26,-0.3822419395840666,-3.7929619798140317,2.3915676397163335,-3.142777275319128,0.0
2013-08-02,-0.06792681583739463,-3.8408015147416004,2.395455542948925,-3.129055382079284,0.0
2013-08-09,0.332954141967467,-4.149945699012373,2.403644836132251,-3.1145594126991427,0.0
2013-08-16,0.557133925083128,-3.889128937864788,2.4150625329766693,-3.101667841757217,0.0
2013-08-23,0.4079980813783714,-3.4396335204693913,2.424637762949309,-3.0922012080574324,0.0
2013-08-30,0.32759189075611733,-3.1965655382734566,2.4330010422887347,-3.084910893400448,0.0
2013-09-06,0.34103021037933107,-2.874641444253861,2.4407967894911597,-3.080430842024121,0.0
2013-09-13,0.7201177899064457,-2.659491589289791,2.4534669721877846,-3.0774730036658764,0.0
2013-09-20,0.9303079554041617,-2.4131257895418514,2.470276975049505,-3.0736221231908076,0.0
2013-09-27,1.1254229545390566,-2.231536845846439,2.490820580314263,-3.0694836537667247,0.0
2013-10-04,1.1468104489666473,-1.9664436048760492,2.5115484411490967,-3.065159436715804,0.0
2013-10-11,1.2364585792296983,-2.2410413806108918,2.5339034952845916,-3.059864440033012,0.0
2013-10-18,1.1007937035531836,-2.5063083468408323,2.5533173908375346,-3.053401366737641,0.0
2013-10-25,1.0430235147146976,-2.54461782372369,2.57139297699795,-3.046955992859466,0.0
2013-11-01,0.5642996008174033,-2.355842309274257,2.5816288086170114,-3.039137432194256,0.0
2013-11-08,-0.36311246287925436,-1.8336553275025063,2.5818693213038824,-3.03875527684359,0.0
2013-11-15,-0.5652785967306314,-1.4341276005379064,2.5780986513570916,-3.042844835770402,0.0
2013-11-22,-0.5512733995019726,-1.4049789539881385,2.5691232778059594,-3.047547777252578,0.0
2013-11-29,0.0983561658956793,-2.013910735539308,2.5592713437954493,-3.047398556095788,0.0
2013-12-06,0.8129029908270017,-2.3086536746146495,2.5539675450060093,-3.0459698844501304,0.0
2013-12-13,1.1538081203897173,-2.6079026937006597,2.553132608119806,-3.045683559425167,0.0
2013-12-20,1.0702481970202995,-2.891106021888972,2.552618370512056,-3.0455223464621244,0.0
2013-12-27,0.7830089015975843,-2.738914130978335,2.5515097425329847,-3.045290003997823,0.0
2014-01-03,0.4920276946192963,-3.031572619374322,2.551107020219453,-3.0452736102390565,0.0
2014-01-10,-0.08697269702541366,-3.0593887477905124,2.5457789692310424,-3.046583227785163,0.0
2014-01-17,-0.44061547874876794,-3.069976575075791,2.5409026466175932,-3.0499058959316754,0.0
2014-01-24,-0.5950792122532512,-3.2803251119117345,2.536143842579367,-3.0543765460783767,0.0
2014-01-31,-0.8096043731742488,-3.4275995391226473,2.532622350342332,-3.060333633248561,0.0
2014-02-07,-0.3418618863373411,-3.9953278577149987,2.533237291301632,-3.059413008574676,0.0
2014-02-14,0.2729309600647098,-4.222869265584377,2.5398924914680676,-3.0535861078710558,0.0
2014-02-21,0.48669425883193673,-4.241737971181978,2.549294447598707,-3.0463559061057888,0.0
2014-02-28,0.5326489186748431,-4.044708212876765,2.559265267852731,-3.038236718825421,0.0
2014-03-07,-0.011321976920021348,-3.693306813364865,2.5628067538016763,-3.0336076188628702,0.0
2014-03-14,-0.8185028111267233,-3.3569199558695155,2.5602365467475954,-3.0392573232075106,0.0
2014-03-21,-1.1513805838072018,-2.9628987538327793,2.5559227165890506,-3.0503652190939614,0.0
2014-03-28,-1.3075215662454234,-2.4635510712278545,2.5509798990531567,-3.0640862216522193,0.0
2014-04-04,-1.080878883470545,-1.8415864813905216,2.5465783889735367,-3.0739104624796743,0.0
2014-04-11,-0.5902386779187847,-1.327585046240079,2.544678930170721,-3.076763254034005,0.0
2014-04-18,-0.4385096173083107,-1.1537420330569752,2.543585402193665,-3.0781244063876465,0.0
2014-04-25,-0.30392987120449355,-1.0786555554169786,2.543758491138946,-3.077923850429716,0.0
2014-05-02,-0.499110522391597,-1.0287800236560152,2.541886750042444,-3.0802060089329277,0.0
2014-05-09,-1.0258842591222037,-1.2177060683253211,2.5377381761068185,-3.0889729967618753,0.0
2014-05-16,-1.4560473976162809,-1.0681930252509773,2.535709907248384,-3.1035494476321444,0.0
2014-05-23,-1.566251559339079,-1.4145473791676078,2.5340883929330045,-3.1199469244922313,0.0
