date,GMX_roll,GMVX_roll,position,close,equity_no_cost,equity_default,bench_equity
2012-09-07,0.49823135312942846,0.662878108927438,1.0,2317.179,1.012311581553236,0.9923490029292615,0.8927575485546317
2012-09-14,0.9758271943553711,1.1113116455950285,1.0,2315.542,1.008602699131315,0.9887132589148269,0.8921268488516808
2012-09-21,0.9364232760170772,0.8084708749205809,1.0,2199.063,0.9527269153281904,0.9339393342108885,0.8472500799451377
2012-09-28,1.8254887410145892,1.5797781872806844,1.0,2293.106,0.9527269153281904,0.9339393342108885,0.8834827568935838
2012-10-05,1.969187897384768,1.4799015460897447,1.0,2293.106,0.9998369636118984,0.9801203819181141,0.8834827568935838
2012-10-12,1.9741465997203989,1.2773711134836887,1.0,2304.531,1.0059639047570268,0.9861265010292334,0.8878845553701954
2012-10-19,2.4530268840127882,1.721968534983823,1.0,2332.47,1.012272756507888,0.992310943505916,0.8986488308746203
2012-10-26,1.8288634018638699,0.8981954349123055,1.0,2247.907,0.9779557787846661,0.958670689608066,0.8660685871479057
2012-11-02,1.452448279085298,0.7785156659514055,1.0,2306.774,1.0045400289366142,0.9847307037505797,0.8887487333993456
2012-11-09,0.9739193764361309,0.6325270854718991,1.0,2240.924,0.978460940610658,0.9591658897455295,0.8633781925078898
2012-11-16,0.35059457247422743,0.25498990844039493,1.0,2177.24,0.9488945779867914,0.930182569782894,0.8388421632576016
2012-11-23,0.31404180477220267,0.6265358240060819,1.0,2192.676,0.9541538448038553,0.9353381249273334,0.8447893108536612
2012-11-30,-0.32203582878469095,0.18321862568133274,1.0,2139.661,0.9321047089377565,0.9137237935387674,0.8243638100888848
2012-12-07,0.5213703417374431,0.9000089228003462,1.0,2246.757,0.9836761475447988,0.9642782538589812,0.8656255177169995
2012-12-14,1.8810336652106554,1.6673448082456896,1.0,2355.865,1.0291695034907467,1.0088744900727356,0.9076624042103169
2012-12-21,2.7394055689738432,1.7802037571474405,1.0,2372.002,1.0330110017979022,1.0126402348141037,0.913879631520346
2012-12-28,4.3854823407750585,2.479107231035387,0.0,2480.049,1.0842914706830646,1.0629094632762102,0.9555077383039318
2013-01-04,5.045395865892566,2.0575085005503793,0.0,2524.409,1.0846668023459933,1.0626396477970708,0.9725986600039315
2013-01-11,4.756158601037686,1.017918808361555,0.0,2483.23,1.0850422639314208,1.0630074845982311,0.956733306877595
