datetime,rev_growth,pb_proxy,indicator,score,position
2023-11-30,-0.08451281020942736,0.9238541180295764,-0.09147852302664278,-1,0.0
2023-12-31,-0.05480048226808931,0.8982989938167102,-0.06100472408997361,-1,0.0
2024-01-31,-0.006729766159689565,0.8592997260011985,-0.00783168661184954,-1,0.0
2024-02-29,-0.03655036100630249,0.9249710041958062,-0.03951514246447144,1,1.0
2024-03-31,-0.028319011380825154,0.8735907194807506,-0.03241679512994089,-1,0.0
2024-04-30,-0.06509212329861125,0.8945712037765539,-0.0727634905123438,1,1.0
2024-05-31,-0.08319189669514193,0.8673713327499225,-0.09591266572229167,1,1.0
2024-06-30,-0.09155622263035645,0.8169569008630085,-0.11206983199926365,1,1.0
2024-07-31,-0.09023074268866527,0.8776007792506367,-0.10281524905403028,-1,0.0
2024-08-31,-0.0997672174282842,0.853567453474776,-0.11688264005632268,1,1.0
2024-09-30,-0.09259391967789554,1.180540969765444,-0.07843346571554613,-1,0.0
2024-10-31,0.0026234417201529414,1.2197952714617437,0.002150722979118566,-1,0.0
2024-11-30,0.10731413967845671,1.270649182503825,0.08445615135642183,-1,0.0
2024-12-31,0.20234826511996062,1.2223375127864313,0.16554205610420075,-1,0.0
2025-01-31,0.2087847428714209,1.1351092795643534,0.18393360589171728,-1,0.0
2025-02-28,0.31671568117087223,1.1594732651436273,0.27315479424326333,-1,0.0
2025-03-31,0.36539647332747505,1.1301744490119119,0.32330979845362245,-1,0.0
2025-04-30,0.4219204336917606,1.071363924465665,0.3938161665301455,-1,0.0
2025-05-31,0.46035025788195627,1.0783237600066693,0.42691283912645034,-1,0.0
2025-06-30,0.5622417003544484,1.1670598789183242,0.4817590858110516,-1,0.0
2025-07-31,0.6951806718549711,1.2211573078298505,0.5692801962512055,-1,0.0
2025-08-31,0.9278437207224173,1.3342148634539968,0.6954230132921982,-1,0.0
2025-09-30,1.1152394172281452,1.2564040678858623,0.8876439083047117,-1,0.0
2025-10-31,0.9057108735539845,1.2295962260043605,0.7365921059282534,1,1.0
2025-11-30,0.7232365643854088,1.150517291388889,0.6286185959989592,1,1.0
2025-12-31,0.6263302407826452,1.1709603731809033,0.5348859407438569,1,1.0
2026-01-31,0.7416947940966185,1.1457547942960171,0.6473416456898493,-1,0.0
2026-02-28,0.6251161732448733,1.1145815367835894,0.5608527977673183,1,1.0
2026-03-31,0.6360933612969655,0.9798554617520351,0.6491706033455137,-1,0.0
2026-04-30,0.6775583070479503,1.0231555901593434,0.6622241168055674,-1,0.0
2026-05-31,0.7618302021512509,0.9779064286807986,0.7790420226390824,-1,0.0
2026-06-30,0.6939036485155381,0.9652304863252654,0.7188994321525242,1,1.0
